name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dortmund,2017-01-01,2.5,-1.9,0,-0.2,-6.8,-4.6,-3.9,75.8,1.1,100,20.83,"rain,snow",,,,24.7,204.9,,61.1,9,45.9,4,2,,2017-01-01T08:35:54,2017-01-01T16:31:55,0.05,"Snow, Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain or snow.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
Dortmund,2017-01-02,2.1,-0.9,0.3,-1.5,-5.5,-3.7,-0.9,91.7,2.6,100,25,"rain,snow",,,,18.9,252.9,,63.3,6.6,32.2,2.8,2,,2017-01-02T08:35:46,2017-01-02T16:33:00,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
Dortmund,2017-01-03,4.4,-1.9,1.3,-0.8,-5.7,-4.1,-0.6,87.4,2.2,100,33.33,"rain,snow",,,55.4,38.3,239.9,,74.2,8.3,23.4,2.1,1,,2017-01-03T08:35:34,2017-01-03T16:34:08,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
Dortmund,2017-01-04,4.7,1.6,3.3,-0.4,-3,-1.7,0.9,84.2,3.3,100,54.17,rain,,,63,35.5,281.2,,68.4,8.1,27.2,2.2,2,,2017-01-04T08:35:19,2017-01-04T16:35:19,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
Dortmund,2017-01-05,2,-5.6,-1.7,1,-7.4,-4.8,-5.9,73.4,0,0,0,,,,,16.6,167,,21.2,10,46.9,4.1,2,,2017-01-05T08:35:01,2017-01-05T16:36:32,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
Dortmund,2017-01-06,-2.9,-9,-6.1,-6,-14.3,-9.7,-9.7,76.1,0,0,0,,,,,14.7,145.5,,0,10,37.5,3.3,2,,2017-01-06T08:34:39,2017-01-06T16:37:47,0.28,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
Dortmund,2017-01-07,0,-5.9,-3.1,-1.6,-12.2,-8.3,-5.9,81.2,2.9,100,87.5,"rain,snow",,,,20.9,205.8,,81.6,6.9,8.4,0.7,1,,2017-01-07T08:34:14,2017-01-07T16:39:04,0.35,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
Dortmund,2017-01-08,1.1,0,0.8,1.1,-2.2,-0.3,0.3,96.7,0.5,100,20.83,"rain,snow",,,,8.8,174.1,,88.9,2.6,20.5,1.8,1,,2017-01-08T08:33:46,2017-01-08T16:40:24,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
Dortmund,2017-01-09,4,0.2,2.3,2.3,-3.2,-1,0,85.1,0.7,100,25,rain,,,,23.7,173.6,,80.5,8.6,31.1,2.7,2,,2017-01-09T08:33:15,2017-01-09T16:41:46,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
Dortmund,2017-01-10,3.1,2,2.5,0.3,-3.2,-1.6,0.6,87.3,5.4,100,41.67,rain,,,48.2,24.5,185.2,,83.6,9.6,30.9,2.7,2,,2017-01-10T08:32:41,2017-01-10T16:43:10,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
