name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dortmund,2020-01-01,2.3,-4.1,-1.9,0,-6.6,-3.8,-3.4,89.5,0,0,0,,,,,9,133,1033.3,0.2,13.8,34.3,2.7,2,,2020-01-01T08:36:00,2020-01-01T16:31:10,0.17,Clear,Clear conditions throughout the day.,clear-day,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-02,4.9,-4.7,0.5,1.7,-8.6,-2.5,-1.3,87.5,0,0,0,,,,,16.8,207.4,1027.2,30.2,15.1,18.4,1.7,1,,2020-01-02T08:35:54,2020-01-02T16:32:13,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-03,9.3,5.2,7.5,6.4,1.9,4.2,5.4,86.7,6.34,100,54.17,rain,,,,26.6,235.8,1019.5,86.9,19.3,7.5,0.6,0,,2020-01-03T08:35:45,2020-01-03T16:33:19,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-04,6.4,2.2,4.9,3.9,-1.3,1.3,3.6,91.3,3.01,100,33.33,rain,,,,23.6,264.1,1029,82.1,10.6,10.1,0.8,1,,2020-01-04T08:35:32,2020-01-04T16:34:28,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-05,6.6,4.4,5.7,4.6,3.1,3.9,3.8,88.4,0.57,100,29.17,rain,,,,14,236.3,1034.5,69.9,15.8,9.7,0.8,1,,2020-01-05T08:35:16,2020-01-05T16:35:39,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-06,6.7,1.8,5,4.5,-1.6,2.4,0.9,75.2,0,0,0,,,,,16.4,198.7,1027.1,38.8,41.1,23.8,2.1,2,,2020-01-06T08:34:57,2020-01-06T16:36:52,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-07,7.8,3.7,6,5.4,0.4,3.3,3.7,86,0.38,100,25,rain,,,,17,224.8,1025.9,74,16.7,12.6,1,1,,2020-01-07T08:34:35,2020-01-07T16:38:08,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-08,10.6,6.3,9,10.6,3.6,7.5,7.3,89.6,1.68,100,70.83,rain,,,,19.5,218,1023.8,97.7,14.8,9.9,0.8,1,,2020-01-08T08:34:09,2020-01-08T16:39:26,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-09,12.8,9.6,11.4,12.8,8.1,11,9.5,88.4,3.88,100,75,rain,,,,22.3,206.6,1015,90.8,27.5,13.4,1.1,1,,2020-01-09T08:33:40,2020-01-09T16:40:47,0.49,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-10,10.9,2.8,7.8,10.9,0.2,5.7,5.9,87.8,4.6,100,75,rain,,,,23.1,252.3,1018,42.1,23.2,13.6,1.1,1,,2020-01-10T08:33:08,2020-01-10T16:42:09,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-11,6.4,0.1,3.7,3.1,-2.7,0.5,1.2,84.3,0,0,0,,,,,20,221,1031.2,62.2,23.4,30.9,2.6,2,,2020-01-11T08:32:33,2020-01-11T16:43:34,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-12,7.8,3.7,5.8,4.7,-0.2,2,2.6,80.7,1.37,100,33.33,rain,,,,25.4,218.8,1023.1,65.7,29.6,19.3,1.6,1,,2020-01-12T08:31:54,2020-01-12T16:45:00,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-13,8.3,6.4,7.2,6,3.3,4.5,4.5,82.9,0.93,100,50,rain,,,,23,205.1,1018.5,74.8,33.7,31.2,2.6,2,,2020-01-13T08:31:13,2020-01-13T16:46:29,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-14,11.1,8.5,9.6,11.1,5.1,7.1,5.7,76.9,0.45,100,62.5,rain,,,,28.7,202,1008,98.7,26.8,17.8,1.5,1,,2020-01-14T08:30:29,2020-01-14T16:47:59,0.59,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-15,12.4,8.1,11.2,12.4,5.3,10.9,5.5,68.7,2.27,100,20.83,rain,,,,32.1,213.3,1012.9,69.9,27.6,30.6,2.7,2,,2020-01-15T08:29:41,2020-01-15T16:49:31,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-16,11.5,0.6,6.8,11.5,-1.4,5.1,3.8,82.1,0,0,0,,,,,18.7,183.4,1025,7,36.3,42.7,3.7,2,,2020-01-16T08:28:51,2020-01-16T16:51:04,0.69,Clear,Clear conditions throughout the day.,clear-day,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-17,10,6.4,8.7,7.9,2.8,6.1,4.8,76.7,1.03,100,25,rain,,,,23.6,195.6,1017.3,70.6,35.4,16.9,1.5,1,,2020-01-17T08:27:58,2020-01-17T16:52:39,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-18,6,2.7,4.5,2.5,-0.6,1.1,1.8,82.9,1.64,100,45.83,rain,,,,19.6,246.8,1024.5,41.3,28.3,15.4,1.2,1,,2020-01-18T08:27:01,2020-01-18T16:54:16,0.81,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-19,5.4,-0.3,2.3,3.9,-2.9,-0.1,1.1,92.1,1.26,100,62.5,"rain,snow",,,,12.4,305.5,1037.4,44.4,13.4,27.9,2.4,2,,2020-01-19T08:26:03,2020-01-19T16:55:54,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2020-01-20,6.1,-0.5,2.4,5.8,-2.2,2,1.4,93.2,0.08,100,12.5,"rain,snow",,,,6.4,215.4,1047.2,67.5,6.9,35.4,3,2,,2020-01-20T08:25:01,2020-01-20T16:57:33,0.91,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"03098,D5453,05480,13696,06337,01303,13700"
