,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-01,7.1,3.1,5.3,5,-0.9,2.4,3.9,90.63,0,,0,,,,,20.2,217.9,1019.9,76.3,7,,,,,1978-01-01T08:36:04,1978-01-01T16:31:25,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
1,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-02,7.1,3.1,6.4,5,-0.3,3.5,3.4,81.15,0,,0,,,,,20.2,239.1,,89.1,9.5,,,,,1978-01-02T08:35:58,1978-01-02T16:32:29,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
2,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-03,6.1,1.1,3.5,0.3,-5.4,-1.6,1.6,87.44,0,,0,,,,,59,243.8,,66.7,10.2,,,,,1978-01-03T08:35:48,1978-01-03T16:33:35,0.81,Partially cloudy,Partly cloudy throughout the day.,wind,10400099999
3,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-04,3.1,1.1,1.6,-0.6,-4.2,-2.7,-0.1,88.19,0,,0,,,,,22,288.8,,32.1,9.9,,,,,1978-01-04T08:35:35,1978-01-04T16:34:45,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
4,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-05,1.1,-3.9,-0.8,-3.1,-7.7,-4.4,-3.7,81.02,0,,0,,,,,20.2,125,,29.6,9.3,,,,,1978-01-05T08:35:18,1978-01-05T16:35:56,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
5,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-06,4.1,1.1,3.1,2.9,-3.4,-0.4,-0.8,76.44,0,,0,,,,,23.8,225.8,,82.9,9.3,,,,,1978-01-06T08:34:58,1978-01-06T16:37:10,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
6,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-07,6.1,3.1,4.5,3.4,-0.9,1.2,0.3,74.4,0,,0,,,,,23.8,168.8,,40.8,9.3,,,,,1978-01-07T08:34:35,1978-01-07T16:38:27,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,10400099999
7,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-08,4.1,0.1,1.8,1.8,-3.9,-1.5,-1.2,80.49,0,,0,,,,,14.8,183.3,,38.8,7,,,,,1978-01-08T08:34:09,1978-01-08T16:39:45,1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,10400099999
8,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-09,6.1,1.1,3.7,2.2,-3.1,0.2,1.1,83.21,0,,0,,,,,27.7,188.7,,91.7,6,,,,,1978-01-09T08:33:39,1978-01-09T16:41:06,0,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
9,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-10,6.1,5.1,5.4,3.1,-0.1,1.2,1.8,78.16,0,,0,,,,,33.1,230.9,,48.6,10.1,,,,,1978-01-10T08:33:07,1978-01-10T16:42:29,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
10,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-11,6.1,4.1,5.7,2.6,0.4,1.5,1.6,75.37,0,,0,,,,,36.7,179.6,,87.9,10.7,,,,,1978-01-11T08:32:31,1978-01-11T16:43:54,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
11,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-12,4.1,1.1,3.1,1.4,-2.7,-1.1,1.3,87.96,0,,0,,,,,27.7,141.8,,90.9,9.5,,,,,1978-01-12T08:31:52,1978-01-12T16:45:21,0.08,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
12,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-13,3.1,-1.9,2,-0.3,-4.3,-1.8,-0.5,83.81,0,,0,,,,,23.8,24.3,,74.3,10.2,,,,,1978-01-13T08:31:10,1978-01-13T16:46:50,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
13,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-14,5.1,-0.9,1.7,5.1,-2.8,1.1,1.1,96.3,0,,0,,,,,10.8,254,,83.8,2.6,,,,,1978-01-14T08:30:25,1978-01-14T16:48:20,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
14,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-15,5.1,0.1,2.8,3,-3.4,0.1,-0.7,78.04,0,,0,,,,,20.2,101.9,,27.6,7.9,,,,,1978-01-15T08:29:37,1978-01-15T16:49:53,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
15,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-16,5.1,2.1,3.8,3,-0.6,0.7,-0.4,74.12,0,,0,,,,,22,161.3,,67.1,8.7,,,,,1978-01-16T08:28:46,1978-01-16T16:51:26,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
16,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-17,7.1,1.1,4.1,5.8,-1.8,1.1,-0.3,73.5,0,,0,,,,,23.8,163,,47.5,7.3,,,,,1978-01-17T08:27:52,1978-01-17T16:53:02,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
17,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-18,5.1,1.1,3.1,3.1,-0.6,1.8,1.4,88.42,0,,0,,,,,13,256,,84.3,6.3,,,,,1978-01-18T08:26:55,1978-01-18T16:54:39,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
18,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-19,4.1,1.1,2.6,1.1,-3.7,-1.9,-0.4,81.26,0,,0,,,,,34.9,160.4,,67.1,7.4,,,,,1978-01-19T08:25:56,1978-01-19T16:56:17,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
19,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-20,7.1,1.1,4.2,3.8,-1.2,0.9,-0.1,73.83,0,,0,,,,,22,170.4,,46.1,10.6,,,,,1978-01-20T08:24:54,1978-01-20T16:57:56,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
20,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-21,6.1,1.1,3.4,4.1,-1.5,1.1,-0.5,75.78,0,,0,,,,,14.8,185.8,,65.4,7.6,,,,,1978-01-21T08:23:49,1978-01-21T16:59:36,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
21,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-22,3.1,0.1,1.8,-0.3,-4.8,-2.8,-2.7,72.29,0,,0,,,,,29.5,161.3,,22.1,9.3,,,,,1978-01-22T08:22:41,1978-01-22T17:01:18,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
22,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-23,6.1,1.1,3.2,2.4,-4.4,-0.7,0,79.81,0,,0,,,,,36.7,185.9,,67.7,7.3,,,,,1978-01-23T08:21:31,1978-01-23T17:03:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
23,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-24,9.1,2.1,5.9,5.8,-4.2,1.6,3.4,84.31,0,,0,,,,,36.7,214.8,,87.4,10.3,,,,,1978-01-24T08:20:19,1978-01-24T17:04:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
24,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-25,5.1,3.1,4.1,0.6,-2.1,-1.1,1.5,83.11,0,,0,,,,,42.5,262.6,,89.1,10.6,,,,,1978-01-25T08:19:04,1978-01-25T17:06:29,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
25,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-26,6.1,1.1,3.4,4.1,-2.7,-0.3,0.8,83.57,0,,0,,,,,22,233.9,,59.6,10.6,,,,,1978-01-26T08:17:46,1978-01-26T17:08:14,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,10400099999
26,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-27,5.1,2.1,3.7,1.1,-3.1,-0.9,0.6,80.54,0,,0,,,,,27.7,216.5,,61.3,10.8,,,,,1978-01-27T08:16:26,1978-01-27T17:10:00,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
27,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-28,7.1,5.1,5.7,2.3,-0.3,0.9,0.3,68.5,0,,0,,,,,44.3,160.4,,49.1,10.6,,,,,1978-01-28T08:15:04,1978-01-28T17:11:46,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
28,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-29,6.1,4.1,5.2,2.6,-0.1,1.4,0.6,72.58,0,,0,,,,,33.1,187.9,,59.2,10.8,,,,,1978-01-29T08:13:40,1978-01-29T17:13:33,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
29,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-30,5.1,1.1,3.3,4.1,-1.5,1.2,1.9,90.72,0,,0,,,,,16.6,285.8,,89.1,8.3,,,,,1978-01-30T08:12:14,1978-01-30T17:15:21,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
30,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-01-31,4.1,-0.9,1.7,0.9,-4.6,-1.9,-1.4,80.19,0,,0,,,,,22,245.9,,24.1,10.2,,,,,1978-01-31T08:10:45,1978-01-31T17:17:09,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
31,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-01,2.1,0.1,1.3,-3.1,-5.7,-4.2,-0.9,85.9,0,,0,,,,,34.9,158,,87,6.9,,,,,1978-02-01T08:09:14,1978-02-01T17:18:58,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
32,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-02,5.1,0.1,2.4,2.2,-5.2,-2.1,1.4,93.49,0,,0,,,,,31.3,259,,96.2,5.3,,,,,1978-02-02T08:07:42,1978-02-02T17:20:47,0.84,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
33,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-03,3.1,0.1,1.5,2.1,-4.6,-1.9,-0.6,86.27,0,,0,,,,,25.9,334.6,,87.1,5.9,,,,,1978-02-03T08:06:07,1978-02-03T17:22:36,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
34,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-04,3.1,0.1,1.4,1.1,-3.4,-0.6,-1.3,82.92,0,,0,,,,,16.6,193.7,,55.9,6.6,,,,,1978-02-04T08:04:30,1978-02-04T17:24:26,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
35,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-05,2.1,0.1,1,-1.5,-6.1,-4.2,-2.3,79.15,0,,0,,,,,27.7,160.8,,61.7,7,,,,,1978-02-05T08:02:52,1978-02-05T17:26:15,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
36,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-06,5.1,1.1,3,5.1,-3.7,0.6,0.8,85.52,0,,0,,,,,18.4,165.2,,88.8,4.1,,,,,1978-02-06T08:01:12,1978-02-06T17:28:05,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
37,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-07,3.1,1.1,2.7,3.1,-3.4,0.6,1.3,90.65,0,,0,,,,,16.6,130.4,,90.4,3.3,,,,,1978-02-07T07:59:30,1978-02-07T17:29:55,1,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
38,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-08,1.1,-1.9,-0.9,0.1,-7.7,-5.2,-3.7,82.4,0,,0,,,,,20.2,67,,80,5.7,,,,,1978-02-08T07:57:46,1978-02-08T17:31:45,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
39,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-09,-1.9,-2.9,-2.4,-7.1,-9.8,-8.1,-5.6,78.73,0,,0,,,,,25.9,59.6,,68.3,9,,,,,1978-02-09T07:56:01,1978-02-09T17:33:36,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
40,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-10,-1.9,-3.9,-3.2,-5.8,-10.5,-9,-7.3,73.63,0,,0,,,,,23.8,61.7,,74.3,9,,,,,1978-02-10T07:54:14,1978-02-10T17:35:26,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
41,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-11,-2.9,-3.9,-3.3,-5.9,-9.2,-7.9,-6.4,79.5,0,,0,,,,,20.2,116.5,,85.2,4.5,,,,,1978-02-11T07:52:25,1978-02-11T17:37:16,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
42,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-12,1.1,-3.9,-1.4,-4.1,-9.6,-6.2,-4.7,79.47,0,,0,,,,,23.8,232.1,,72.1,6.8,,,,,1978-02-12T07:50:35,1978-02-12T17:39:06,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
43,"Dortmund, Nordrhein-Westfalen, Deutschland",1978-02-13,0.1,-2.9,-1.6,-1.9,-7.1,-5,-4.2,82.79,0,,0,,,,,22,197.1,,87.5,6.4,,,,,1978-02-13T07:48:44,1978-02-13T17:40:56,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
