,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-01,-2.1,-6.1,-4.5,-8.5,-13.7,-11.1,-7.8,77.45,0,,0,,,,,25.9,159.2,1003.6,69.2,12.9,,,,,1986-01-01T08:36:05,1986-01-01T16:31:26,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
1,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-02,6.9,-1.9,2.9,3.6,-8.3,-2,0.3,83.27,0,,0,,,2,,33.5,168.8,990.1,96.7,19,,,,,1986-01-02T08:35:58,1986-01-02T16:32:30,0.68,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
2,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-03,5.9,-0.6,3.7,3.5,-6,0.3,2.1,89.41,0,,0,,,,,22.3,210,996.6,86.7,21.5,,,,,1986-01-03T08:35:48,1986-01-03T16:33:37,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
3,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-04,1.1,-4.4,-1,-2.8,-8.1,-5.1,-1.8,94.86,0,,0,,,6,,20.5,273.8,1011.3,75.4,6,,,,,1986-01-04T08:35:35,1986-01-04T16:34:46,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
4,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-05,2.6,0.2,1.3,-1.5,-6,-4,-1,84.98,0,,0,,,6,,27.7,177.9,1000.1,97.5,12,,,,,1986-01-05T08:35:18,1986-01-05T16:35:58,0.85,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
5,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-06,3.4,-0.1,1.8,-0.6,-3.3,-1.9,0.8,93.35,0,,0,,,,,20.5,250.4,1001.4,96.1,8.7,,,,,1986-01-06T08:34:58,1986-01-06T16:37:12,0.9,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
6,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-07,0.1,-3.1,-0.9,0.1,-7.4,-3.7,-2.6,88.9,0,,0,,,2,,13,219.6,1013.9,76.3,9,,,,,1986-01-07T08:34:35,1986-01-07T16:38:29,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
7,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-08,0.6,-4.6,-1.3,-4,-8.8,-6,-5.2,75.57,0,,0,,,1,,18.4,108.2,1013.2,67.3,27.9,,,,,1986-01-08T08:34:08,1986-01-08T16:39:48,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
8,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-09,0.2,-3.6,-1.6,-3.4,-7.6,-5.2,-4.3,81.43,0,,0,,,1,,16.6,82.1,1022.4,39.6,6.7,,,,,1986-01-09T08:33:38,1986-01-09T16:41:09,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
9,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-10,6.1,-3.1,0.3,2,-8.6,-5.2,-1.4,88.19,0,,0,,,1,,37.1,166.3,1024,82.9,5.8,,,,,1986-01-10T08:33:06,1986-01-10T16:42:32,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
10,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-11,8.2,3.9,5.7,5.2,-2,2.3,4,88.84,0,,0,,,,,37.1,245,1012.9,74.2,18.3,,,,,1986-01-11T08:32:29,1986-01-11T16:43:57,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
11,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-12,5.7,1.7,4.4,1.7,-1.3,-0.1,2,84.83,0,,0,,,,,33.5,267.5,1012.6,86.7,22.9,,,,,1986-01-12T08:31:50,1986-01-12T16:45:24,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
12,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-13,8.6,4.4,6.9,5.2,-0.6,2.9,5.3,89.29,0,,0,,,,,29.5,258.3,1010.6,99.6,16.3,,,,,1986-01-13T08:31:08,1986-01-13T16:46:53,0.06,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
13,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-14,9.2,2.7,6.4,4.9,-2,1.8,3.2,80.38,0,,0,,,,,42.5,260,1000.8,90,29.7,,,,,1986-01-14T08:30:23,1986-01-14T16:48:24,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
14,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-15,5.9,0.9,4.1,1.7,-2.9,-0.7,2.3,88.61,0,,0,,,,,50,279.1,1000.3,88.7,20.1,,,,,1986-01-15T08:29:35,1986-01-15T16:49:56,0.14,Partially cloudy,Partly cloudy throughout the day.,wind,10400099999
15,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-16,3.9,0.2,2.1,-0.9,-3.8,-2.2,0.4,89.31,0,,0,,,,,33.5,294.6,1014.2,75.8,17.1,,,,,1986-01-16T08:28:43,1986-01-16T16:51:30,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
16,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-17,3.4,-0.4,1.2,0.4,-5.1,-2.7,-0.9,85.86,0,,0,,,,,22.3,281.8,1021.6,74.5,20.4,,,,,1986-01-17T08:27:49,1986-01-17T16:53:05,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
17,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-18,8.9,0.1,4.1,6.1,-4.5,-0.1,3,92.94,0,,0,,,,,37.1,218.8,1016.3,100,7.4,,,,,1986-01-18T08:26:53,1986-01-18T16:54:42,0.28,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
18,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-19,10.9,5.2,9.2,10.9,-1.2,7,7.8,90.81,0,,0,,,,,64.8,247.5,1005.1,100,17.1,,,,,1986-01-19T08:25:53,1986-01-19T16:56:20,0.32,Overcast,Cloudy skies throughout the day.,wind,10400099999
19,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-20,7.9,4.9,6,4.1,0,1.6,2.3,77.37,0,,0,,,,,42.5,253.8,1015.5,72.5,36.3,,,,,1986-01-20T08:24:51,1986-01-20T16:58:00,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
20,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-21,8.7,6.1,7.3,4.5,1.8,3,2.7,72.9,0,,0,,,,,38.9,216.7,1011.4,85.4,27.5,,,,,1986-01-21T08:23:46,1986-01-21T16:59:40,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
21,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-22,7.4,4.4,6.2,3,0,1.6,2.5,77.93,0,,0,,,,,44.3,225.8,1004.2,87.1,25.8,,,,,1986-01-22T08:22:38,1986-01-22T17:01:22,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
22,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-23,8.4,2.2,6.6,5.1,-1.7,2.7,4.3,85.34,0,,0,,,,,42.5,238.3,987,86.7,22,,,,,1986-01-23T08:21:28,1986-01-23T17:03:05,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
23,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-24,3.9,1.4,2.6,0.8,-4.6,-2.3,0.9,89.02,0,,0,,,,,33.5,273.8,993.3,83.3,20.7,,,,,1986-01-24T08:20:15,1986-01-24T17:04:48,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
24,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-25,3.4,0.4,1.6,-1.8,-4.5,-3.2,0.1,89.58,0,,0,,,,,27.7,301.3,1014.4,57.5,24.4,,,,,1986-01-25T08:19:00,1986-01-25T17:06:33,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
25,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-26,3.1,-4.1,-1.1,0.7,-7.1,-3.7,-1.8,94.73,0,,0,,,,,16.6,230,1023.9,30.4,13.7,,,,,1986-01-26T08:17:42,1986-01-26T17:08:18,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
26,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-27,-0.9,-4.6,-2.3,-1.6,-9.2,-6.5,-3.5,91.98,0,,0,,,1,,24.1,194.5,1017,85,5.6,,,,,1986-01-27T08:16:22,1986-01-27T17:10:04,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
27,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-28,4.4,-2.3,1,0.5,-9,-4.4,-1.6,82.61,0,,0,,,1,,27.7,190,1009,72.1,12.5,,,,,1986-01-28T08:15:00,1986-01-28T17:11:51,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
28,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-29,4.2,0.7,2.3,0.8,-4.8,-2.6,-2.9,69.16,0,,0,,,,,29.5,143.3,1003.5,72.9,25,,,,,1986-01-29T08:13:36,1986-01-29T17:13:38,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
29,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-30,4.9,-2.1,1.4,1.3,-5.7,-1.8,-2.9,73.35,0,,0,,,,,22.3,74.5,1001.5,83.2,11.2,,,,,1986-01-30T08:12:09,1986-01-30T17:15:26,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
30,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-01-31,3.6,1.1,2.3,-1.7,-4.3,-3,-1,78.89,0,,0,,,,,35.3,62.9,1002.3,52.1,8,,,,,1986-01-31T08:10:40,1986-01-31T17:17:14,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,10400099999
31,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-02-01,5.2,1.9,3.3,0.8,-4.2,-2,0.5,81.95,0,,0,,,,,37.1,62.1,998.2,90,6.4,,,,,1986-02-01T08:09:10,1986-02-01T17:19:03,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
32,"Dortmund, Nordrhein-Westfalen, Deutschland",1986-02-02,5.1,0.6,2,1.9,-4,-1.6,0.3,88.47,0,,0,,,,,22.3,64.6,1006.5,73.8,6.6,,,,,1986-02-02T08:07:37,1986-02-02T17:20:52,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
