,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-01,4.7,0.7,2.2,-0.6,-5.4,-3,1.1,92.1,0,,0,,,,,33.5,270.9,1008.3,99.6,7.7,,,,,1985-01-01T08:36:04,1985-01-01T16:31:43,0.35,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
1,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-02,0.4,-2.6,-1.2,-1.4,-8.1,-6.2,-4,81.88,0,,0,,,,,27.7,124.5,1010.6,93,8.3,,,,,1985-01-02T08:35:57,1985-01-02T16:32:48,0.4,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
2,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-03,-0.6,-3.6,-1.6,-0.8,-8.8,-3.9,-2.7,92.49,0,,0,,,2,,14.8,272.4,1012.2,73.3,5.4,,,,,1985-01-03T08:35:46,1985-01-03T16:33:55,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
3,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-04,-4.6,-12.9,-8.4,-7.1,-16.1,-12.3,-9.7,90.52,0,,0,,,5,,18.4,225,1011.4,40.8,13,,,,,1985-01-04T08:35:32,1985-01-04T16:35:05,0.46,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,10400099999
4,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-05,-7.3,-11.3,-9.4,-9.3,-16.1,-12.9,-10.7,90.32,0,,0,,,5,,13,210.5,1016.2,67.1,7,,,,,1985-01-05T08:35:14,1985-01-05T16:36:17,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
5,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-06,-7.1,-13.3,-9.8,-10.8,-16.5,-14,-11.2,89.82,0,,0,,,5,,25.9,165,1012.1,70,4.5,,,,,1985-01-06T08:34:53,1985-01-06T16:37:32,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
6,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-07,-8.3,-16.8,-10.3,-13.2,-19.6,-16.4,-12.4,84.9,0,,0,,,23,,27.7,59.2,1012.9,59.2,5.1,,,,,1985-01-07T08:34:29,1985-01-07T16:38:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
7,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-08,-7.3,-18.6,-12.5,-12.8,-22.2,-16.6,-14.1,88.08,0,,0,,,24,,16.6,264.6,1019.8,67.5,2.8,,,,,1985-01-08T08:34:02,1985-01-08T16:40:08,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
8,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-09,-5.6,-7.8,-6.4,-10.4,-15.8,-13.2,-9.2,81.68,0,,0,,,27,,33.5,184.6,1013.6,90,6.2,,,,,1985-01-09T08:33:32,1985-01-09T16:41:30,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
9,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-10,-3.9,-7.4,-5.4,-4.3,-11.6,-7.8,-7.9,83.08,0,,0,,,23,,14.8,167.3,1021,90,5.3,,,,,1985-01-10T08:32:58,1985-01-10T16:42:53,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
10,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-11,-4.3,-8.8,-6.1,-4.3,-13.4,-7,-7,93.23,0,,0,,,19,,11.2,225,1028.9,67.8,1.9,,,,,1985-01-11T08:32:21,1985-01-11T16:44:19,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
11,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-12,-0.6,-5.6,-3.5,-1.6,-10.2,-7,-4.8,90.79,0,,0,,,25,,22.3,164.2,1025.4,67.1,6.4,,,,,1985-01-12T08:31:41,1985-01-12T16:45:46,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
12,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-13,-5.1,-13.8,-8.7,-9.8,-17.5,-13.9,-10.4,87.36,0,,0,,,25,,22.3,71.3,1027.9,53.8,6.8,,,,,1985-01-13T08:30:58,1985-01-13T16:47:16,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
13,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-14,-6.4,-14.8,-10.5,-7.8,-20.6,-14.8,-11.9,89.64,0,,0,,,20,,22.3,67.1,1026.5,51.7,5,,,,,1985-01-14T08:30:12,1985-01-14T16:48:47,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
14,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-15,-8.1,-11.6,-9.7,-8.6,-19,-14.1,-11.9,84.31,0,,0,,,19,,20.5,44.5,1024.6,83.8,4,,,,,1985-01-15T08:29:23,1985-01-15T16:50:20,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
15,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-16,-6.1,-11.3,-7.8,-6.1,-14.7,-9.7,-9.4,88.18,0,,0,,,19,,7.6,235.7,1024.9,92.5,2.1,,,,,1985-01-16T08:28:31,1985-01-16T16:51:54,0.89,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
16,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-17,-3.3,-7.3,-6,-4.3,-10.6,-6.8,-7.3,90.15,0,,0,,,18,,9.4,37.8,1016,90.4,1.3,,,,,1985-01-17T08:27:37,1985-01-17T16:53:30,0.93,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
17,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-18,-3.8,-8.6,-5.4,-4.6,-12.7,-9,-7.2,87.3,0,,0,,,17,,13,78.8,1004.9,78.8,2.6,,,,,1985-01-18T08:26:39,1985-01-18T16:55:07,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
18,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-19,-4.8,-10.3,-8.6,-7.6,-15.4,-12.2,-9.9,90.46,0,,0,,,16,,11.2,201.7,1007.8,81.7,1.1,,,,,1985-01-19T08:25:39,1985-01-19T16:56:45,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
19,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-20,0.4,-10.8,-5.4,-1.9,-13.3,-6.4,-6.7,90.89,0,,0,,,15,,16.6,114.1,1007.7,80.4,1.8,,,,,1985-01-20T08:24:36,1985-01-20T16:58:25,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
20,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-21,6.2,0.2,3.3,1.9,-5.4,-1.3,1.2,86.38,0,,0,,,15,,27.7,157.1,997.5,94.6,6.3,,,,,1985-01-21T08:23:30,1985-01-21T17:00:06,0,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
21,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-22,7.9,1.9,6,4.9,-1.4,2.5,4.2,87.17,0,,0,,,1,,25.9,198.8,991.8,90.4,13.1,,,,,1985-01-22T08:22:22,1985-01-22T17:01:48,0.01,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
22,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-23,3.7,0.2,2.1,-0.4,-3.5,-2,-0.6,82.39,0,,0,,,,,22.3,225.8,1001.9,62.9,17.8,,,,,1985-01-23T08:21:11,1985-01-23T17:03:31,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
23,"Dortmund, Nordrhein-Westfalen, Deutschland",1985-01-24,3.9,-0.6,1.3,-1.2,-6.5,-3.9,-1.8,80,0,,0,,,,,48.2,238.6,1008.2,60,24.4,,,,,1985-01-24T08:19:58,1985-01-24T17:05:14,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
