name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dortmund,2018-06-02,22,16,18.2,22,16,18.2,15.1,82.6,1.5,100,45.83,rain,,,,20.5,253.3,,86.3,7.4,139.6,12.1,5,,2018-06-02T05:18:02,2018-06-02T21:38:53,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-06-03,23,16,19.3,23,16,19.3,15.2,78.5,0.3,100,12.5,rain,,,,10.9,188.8,,65.7,8.1,190.4,16.1,6,,2018-06-03T05:17:19,2018-06-03T21:39:55,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2018-06-04,25,13.3,19.7,25,13.3,19.7,15,75.9,0,0,0,,,,,15,114,,24.7,9.7,272,23.4,8,,2018-06-04T05:16:38,2018-06-04T21:40:54,0.65,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-06-05,21.1,15,17,21.1,15,17,13.7,81.3,0,0,0,,,,,13,58.6,,64.8,9,151.5,13,6,,2018-06-05T05:16:00,2018-06-05T21:41:51,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-06-06,27.2,12,20.2,27.2,12,20.2,13.2,67.7,0,0,0,,,,,12.9,76.2,,1.4,8.8,196.8,16.9,6,,2018-06-06T05:15:25,2018-06-06T21:42:46,0.74,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-06-07,28.9,15.4,21.4,29.1,15.4,21.5,15.6,70.9,2.6,100,45.83,rain,,,,18.8,205.3,,12.9,9.9,198.8,17.4,7,,2018-06-07T05:14:53,2018-06-07T21:43:38,0.79,Rain,Clear conditions throughout the day with rain.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-06-08,23,18,19.6,23,18,19.6,17.3,86.9,7.1,100,87.5,rain,,,,12.9,267.9,,57.2,7.4,124,10.6,5,,2018-06-08T05:14:24,2018-06-08T21:44:28,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-06-09,28,17,22,28.8,17,22.1,16.7,74.2,1.2,100,41.67,rain,,,,9.5,268.3,,22.3,8.5,217.1,18.9,7,,2018-06-09T05:13:58,2018-06-09T21:45:16,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-06-10,24,18,20.8,24,18,20.8,16.8,78.9,2.2,100,54.17,rain,,,,16.2,193.1,,45,9.1,206.6,17.8,7,,2018-06-10T05:13:35,2018-06-10T21:46:01,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-11,22.1,15,18,22.1,15,18,12.6,72.5,0.3,100,12.5,rain,,,,15.1,46,,45.8,9.8,254.1,22.1,8,,2018-06-11T05:13:15,2018-06-11T21:46:43,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
