,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",1976-01-01,6.1,5.1,5.5,3.1,-0.4,1.9,3.5,87.33,0,,0,,,,,36.7,225.8,,72.9,10.5,,,,,1976-01-01T08:36:07,1976-01-01T16:30:53,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
1,"Dortmund, Nordrhein-Westfalen, Deutschland",1976-01-02,11.1,4.1,7.7,11.1,-0.1,5.4,5.1,83.69,0,,0,,,,,49.7,206.7,,84.2,10.5,,,,,1976-01-02T08:36:02,1976-01-02T16:31:56,0,Partially cloudy,Partly cloudy throughout the day.,wind,10400099999
2,"Dortmund, Nordrhein-Westfalen, Deutschland",1976-01-03,11.1,3.1,6.4,11.1,-3.2,1.4,0.3,65.66,0,,0,,,,,81.4,271.6,,63.7,10.8,,,,,1976-01-03T08:35:54,1976-01-03T16:33:01,0.02,Partially cloudy,Partly cloudy throughout the day.,wind,10400099999
3,"Dortmund, Nordrhein-Westfalen, Deutschland",1976-01-04,5.1,2.1,3.4,2.3,-2.6,-0.6,-1,73.27,0,,0,,,,,31.3,256.4,,17.7,10.4,,,,,1976-01-04T08:35:43,1976-01-04T16:34:09,0.04,Clear,Clear conditions throughout the day.,clear-day,10400099999
4,"Dortmund, Nordrhein-Westfalen, Deutschland",1976-01-05,10.1,2.1,5.8,10.1,-3.5,2,4.2,89.58,0,,0,,,,,42.5,207.7,,85,5.5,,,,,1976-01-05T08:35:28,1976-01-05T16:35:19,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
5,"Dortmund, Nordrhein-Westfalen, Deutschland",1976-01-06,9.1,5.1,7.5,7.1,3.3,5.3,6.1,91.23,0,,0,,,,,23.8,275,,90.9,7.9,,,,,1976-01-06T08:35:10,1976-01-06T16:36:32,0.11,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
6,"Dortmund, Nordrhein-Westfalen, Deutschland",1976-01-07,9.1,7.1,8.4,6.6,4.9,5.8,6.3,86.45,0,,0,,,,,22,208.3,,90.9,8,,,,,1976-01-07T08:34:48,1976-01-07T16:37:47,0.16,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
7,"Dortmund, Nordrhein-Westfalen, Deutschland",1976-01-08,9.1,6.1,7,7,1.6,3.5,4,81.35,0,,0,,,,,27.7,215.5,,94.1,9.7,,,,,1976-01-08T08:34:23,1976-01-08T16:39:04,0.2,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
8,"Dortmund, Nordrhein-Westfalen, Deutschland",1976-01-09,9.1,6.1,7.1,7.4,2.2,4,4.2,81.8,0,,0,,,,,23.8,220,,96.5,9.5,,,,,1976-01-09T08:33:56,1976-01-09T16:40:24,0.25,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
9,"Dortmund, Nordrhein-Westfalen, Deutschland",1976-01-10,9.1,5.1,7,5.8,0.5,3.1,5.5,90.75,0,,0,,,,,34.9,225.7,,97.8,6.4,,,,,1976-01-10T08:33:24,1976-01-10T16:41:46,0.3,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
