,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",2006-01-01,6.1,1.1,4.2,5.1,-1.8,1.4,2.1,86.15,0,,0,,,,,21.9,203.5,,58.5,10.3,,,,,2006-01-01T08:36:00,2006-01-01T16:31:34,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
1,"Dortmund, Nordrhein-Westfalen, Deutschland",2006-01-02,3.1,0.1,1.7,3,-2.4,0.7,1.5,98.61,0,,0,,,,,7.5,,,85.6,5.2,,,,,2006-01-02T08:35:53,2006-01-02T16:32:38,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
2,"Dortmund, Nordrhein-Westfalen, Deutschland",2006-01-03,3.1,-1,1,2.9,-3.7,-0.3,0.6,97.1,0,,0,,,,,12.2,,,68.6,6.8,,,,,2006-01-03T08:35:43,2006-01-03T16:33:45,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
3,"Dortmund, Nordrhein-Westfalen, Deutschland",2006-01-04,2.1,-0.9,0.2,0.7,-5.8,-2.7,-0.6,94.04,0,,0,,,,,18,,,60.6,8.6,,,,,2006-01-04T08:35:29,2006-01-04T16:34:55,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
4,"Dortmund, Nordrhein-Westfalen, Deutschland",2006-01-05,2.1,-0.9,0.4,-1.9,-6.7,-4.6,-1.2,89.28,0,,0,,,,,23.6,,,76.5,10.6,,,,,2006-01-05T08:35:12,2006-01-05T16:36:07,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
5,"Dortmund, Nordrhein-Westfalen, Deutschland",2006-01-06,1.7,1,1.2,-1.5,-4.1,-3.1,0.1,92.6,0,,0,,,,,21.6,,,89,8.4,,,,,2006-01-06T08:34:51,2006-01-06T16:37:21,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
6,"Dortmund, Nordrhein-Westfalen, Deutschland",2006-01-07,3.3,0.1,1.5,0.5,-3.4,-1.6,0.1,90.19,0,,0,,,,,13.6,,,81.9,8.9,,,,,2006-01-07T08:34:27,2006-01-07T16:38:38,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
7,"Dortmund, Nordrhein-Westfalen, Deutschland",2006-01-08,3.3,0.1,1.9,0.8,-3.1,-1.4,-1.1,80.83,0,,0,,,,,16.3,,,68.4,9.8,,,,,2006-01-08T08:34:00,2006-01-08T16:39:57,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
8,"Dortmund, Nordrhein-Westfalen, Deutschland",2006-01-09,3.1,-3.9,-0.8,3,-7.1,-2.8,-2.8,86.28,0,,0,,,,,12.9,,,0,9,,,,,2006-01-09T08:33:30,2006-01-09T16:41:19,0.39,Clear,Clear conditions throughout the day.,clear-day,"10437499999,10416099999,10400099999,10315099999"
9,"Dortmund, Nordrhein-Westfalen, Deutschland",2006-01-10,4.9,-2.3,0.9,2.3,-6.8,-3.2,-2.9,75.91,0,,0,,,,,24.1,,,0.3,8.9,,,,,2006-01-10T08:32:57,2006-01-10T16:42:42,0.43,Clear,Clear conditions throughout the day.,clear-day,"10437499999,10416099999,10400099999,10315099999"
