,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",1982-01-01,9.1,6.1,7.4,6.9,2.8,4.7,5.3,86.55,0,,0,,,,,23.8,173.9,999.7,73.9,10.3,,,,,1982-01-01T08:36:05,1982-01-01T16:31:27,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
1,"Dortmund, Nordrhein-Westfalen, Deutschland",1982-01-02,8.1,5.1,6,7.1,1.1,2.7,3.8,85.63,0,,0,,,,,27.7,184.8,,57.9,9.2,,,,,1982-01-02T08:35:58,1982-01-02T16:32:31,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
2,"Dortmund, Nordrhein-Westfalen, Deutschland",1982-01-03,12.1,9.1,10.7,12.1,6.4,10.5,8.1,84.1,0,,0,,,,,31.3,195,,35.8,10.3,,,,,1982-01-03T08:35:49,1982-01-03T16:33:37,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
3,"Dortmund, Nordrhein-Westfalen, Deutschland",1982-01-04,12.1,9.1,10.2,12.1,6.6,10,6.7,78.97,0,,0,,,,,34.9,214.3,,70.9,10.4,,,,,1982-01-04T08:35:35,1982-01-04T16:34:46,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
4,"Dortmund, Nordrhein-Westfalen, Deutschland",1982-01-05,10.1,7.1,9.2,10.1,3.1,6.8,7.4,88.72,0,,0,,,,,44.3,229.6,,90.4,10.7,,,,,1982-01-05T08:35:19,1982-01-05T16:35:58,0.38,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
5,"Dortmund, Nordrhein-Westfalen, Deutschland",1982-01-06,9.1,-4.9,-0.9,5.1,-12,-7.1,-5,74.35,0,,0,,,,,38.9,267.4,,66.1,10.6,,,,,1982-01-06T08:34:59,1982-01-06T16:37:12,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
6,"Dortmund, Nordrhein-Westfalen, Deutschland",1982-01-07,-2.9,-7.9,-5.6,-2.9,-11.3,-8.2,-9.3,76.44,0,,0,,,,,10.8,91.9,,6.3,10,,,,,1982-01-07T08:34:36,1982-01-07T16:38:29,0.46,Clear,Clear conditions throughout the day.,clear-day,10400099999
7,"Dortmund, Nordrhein-Westfalen, Deutschland",1982-01-08,-3.9,-5.9,-5,-8.9,-12.6,-11,-12.4,57.79,0,,0,,,,,27.7,114.2,,0,10,,,,,1982-01-08T08:34:09,1982-01-08T16:39:47,0.49,Clear,Clear conditions throughout the day.,clear-day,10400099999
8,"Dortmund, Nordrhein-Westfalen, Deutschland",1982-01-09,-3.9,-7.9,-5.9,-9.6,-15.6,-12.1,-9,79.49,0,,0,,,,,25.9,68.7,,73.9,6.4,,,,,1982-01-09T08:33:40,1982-01-09T16:41:08,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
9,"Dortmund, Nordrhein-Westfalen, Deutschland",1982-01-10,-5.9,-14.9,-11.5,-9.7,-22.8,-17.3,-13.9,82.68,0,,0,,,,,20.2,48.3,,1.7,9.3,,,,,1982-01-10T08:33:07,1982-01-10T16:42:31,0.51,Clear,Clear conditions throughout the day.,clear-day,10400099999
