,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-01,6.6,2.8,4.6,3.5,-0.7,1.1,2.3,85.26,0,,0,,,,,24.1,224,1015.5,62.4,21.2,,,,,1991-01-01T08:36:04,1991-01-01T16:31:13,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10400099999,10315099999"
1,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-02,12.5,5.9,8.8,12.5,0.9,6.2,5.7,81.12,0,,0,,,,,44,203.8,1002.5,87.5,16.6,,,,,1991-01-02T08:35:58,1991-01-02T16:32:16,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
2,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-03,11.6,7.1,8.9,11.6,4.6,6.3,5.8,81.47,0,,0,,,,,35.4,220.8,1006.2,81.9,17.9,,,,,1991-01-03T08:35:49,1991-01-03T16:33:22,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
3,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-04,9.3,4.1,7.2,6,-1,3.5,3.7,78.7,0,,0,,,,,32.7,221.4,1006.9,68.9,18.6,,,,,1991-01-04T08:35:36,1991-01-04T16:34:31,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
4,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-05,7.1,4.5,5.7,2.3,-0.1,1.1,1.4,74.1,0,,0,,,,,39.9,204.8,1007.7,55.9,18.2,,,,,1991-01-05T08:35:20,1991-01-05T16:35:42,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
5,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-06,7,5,6.1,2.6,-0.2,0.7,0.4,67.46,0,,0,,,,,54.9,224,999.6,58.5,20.3,,,,,1991-01-06T08:35:01,1991-01-06T16:36:56,0.69,Partially cloudy,Partly cloudy throughout the day.,wind,"10416099999,10400099999,10315099999"
6,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-07,9,5.1,6.9,5.4,1.5,3.4,2.2,72,0,,0,,,,,43.4,203.3,1001.6,56.8,18.6,,,,,1991-01-07T08:34:38,1991-01-07T16:38:12,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
7,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-08,10.1,5,7.3,10.1,0.4,3.7,2.9,73.93,0,,0,,,,,32.5,203.8,1005,56.2,16.5,,,,,1991-01-08T08:34:12,1991-01-08T16:39:31,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
8,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-09,11.5,7,8.9,11.5,2.3,5.8,3.6,69.81,0,,0,,,,,47.4,209.7,1003.5,69,19.9,,,,,1991-01-09T08:33:43,1991-01-09T16:40:51,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
9,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-10,13.1,8.2,10.7,13.1,5.1,9.9,5.7,71.32,0,,0,,,,,46.4,214,1002.6,79.8,17.1,,,,,1991-01-10T08:33:11,1991-01-10T16:42:14,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
10,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-11,9.1,6.3,8.1,6.3,1.3,4.7,3.9,74.69,0,,0,,,,,36.9,210,1011.4,69.2,17.3,,,,,1991-01-11T08:32:35,1991-01-11T16:43:38,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
11,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-12,7,3.8,5.2,3.8,0.5,1.9,2.4,82.24,0,,0,,,,,26.5,230,1020.6,52.8,14.1,,,,,1991-01-12T08:31:57,1991-01-12T16:45:05,0.95,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"10416099999,10400099999,10315099999"
12,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-13,5,-0.1,2.6,4,-2.7,1.2,0.6,86.79,0,,0,,,,,9.8,190.3,1032.3,40.5,11.4,,,,,1991-01-13T08:31:15,1991-01-13T16:46:34,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
13,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-14,3,-1,0.5,0.2,-6.7,-3.6,-2.8,79.23,0,,0,,,,,32.7,54.5,1036.9,4.9,12.7,,,,,1991-01-14T08:30:31,1991-01-14T16:48:04,0.99,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,10315099999"
14,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-15,4.1,-2.2,-0.4,0.6,-9.1,-5.7,-9.6,50.58,0,,0,,,,,30.6,66.2,1032.3,0.5,21.4,,,,,1991-01-15T08:29:43,1991-01-15T16:49:36,1,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,10315099999"
15,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-16,2.1,-4.3,-1.1,-1.9,-8.4,-5.2,-7.9,60.19,0,,0,,,,,16.6,79.8,1029.6,0.1,14.2,,,,,1991-01-16T08:28:53,1991-01-16T16:51:10,0,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,10315099999"
16,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-17,6.9,-1.3,1.8,6.9,-6.3,-1.3,-7.1,51.92,0,,0,,,,,20.4,144.3,1029.4,0,13.4,,,,,1991-01-17T08:27:59,1991-01-17T16:52:45,0.01,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,10315099999"
17,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-18,6.9,-1.9,1.7,6,-5.8,-1.3,-6,59.47,0,,0,,,,,23.4,145.2,1031.6,0,11.5,,,,,1991-01-18T08:27:03,1991-01-18T16:54:21,0.03,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,10315099999"
18,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-19,3.9,-0.7,1.8,0.9,-6.6,-2.4,-2.4,74.74,0,,0,,,1,,23.9,198.3,1028.6,45.1,8.9,,,,,1991-01-19T08:26:04,1991-01-19T16:55:59,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
19,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-20,5,0.7,2.7,2.4,-2.3,-0.4,0.1,84.46,0,,0,,,,,20.4,210,1036.4,32.9,6.1,,,,,1991-01-20T08:25:02,1991-01-20T16:57:38,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"10416099999,10400099999,10315099999"
20,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-21,6.1,2.9,4.6,2.8,-1.4,1.1,2.8,88.22,0,,0,,,,,23.6,252.9,1031.2,91.6,6,,,,,1991-01-21T08:23:58,1991-01-21T16:59:19,0.14,Overcast,Cloudy skies throughout the day.,cloudy,"10416099999,10400099999,10315099999"
21,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-22,5.1,-1,3.3,1.9,-1.1,0.7,1.3,87.07,0,,0,,,,,16.9,74,1037.8,66.1,6,,,,,1991-01-22T08:22:51,1991-01-22T17:01:00,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
22,"Dortmund, Nordrhein-Westfalen, Deutschland",1991-01-23,0.1,-1.4,-0.5,0.1,-3,-1.5,-1.4,93.36,0,,0,,,,,9.1,109.9,1039.8,45.2,2.5,,,,,1991-01-23T08:21:41,1991-01-23T17:02:43,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"10416099999,10400099999,10315099999"
