,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",2008-01-01,1.3,-2.8,-0.5,1.3,-5.8,-2.5,-0.7,98.47,0,,0,,,,,12.6,106.6,,58.4,3.3,,,,,2008-01-01T08:36:03,2008-01-01T16:31:04,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
1,"Dortmund, Nordrhein-Westfalen, Deutschland",2008-01-02,0.2,-4.6,-1.7,-2.7,-8.7,-6,-3.7,86.97,0,,0,,,,,22.2,80,,32.2,10.4,,,,,2008-01-02T08:35:57,2008-01-02T16:32:07,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
2,"Dortmund, Nordrhein-Westfalen, Deutschland",2008-01-03,1.7,-1.8,0.2,-2.3,-7.2,-4.5,-5.3,66.5,0,,0,,,,,25.4,90,,49.2,10.6,,,,,2008-01-03T08:35:48,2008-01-03T16:33:13,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
3,"Dortmund, Nordrhein-Westfalen, Deutschland",2008-01-04,5.8,-0.8,2.6,4,-3.8,-0.3,-3.3,65.68,0,,0,,,,,24.5,117.4,,15.4,10.2,,,,,2008-01-04T08:35:36,2008-01-04T16:34:21,0.93,Clear,Clear conditions throughout the day.,clear-day,"10437499999,10416099999,10400099999,10315099999"
4,"Dortmund, Nordrhein-Westfalen, Deutschland",2008-01-05,7.2,3.7,5.6,3.8,-1.4,1.4,2.8,82.5,0,,0,,,,,36,181.5,,60.8,10.6,,,,,2008-01-05T08:35:20,2008-01-05T16:35:32,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
5,"Dortmund, Nordrhein-Westfalen, Deutschland",2008-01-06,5.7,1.7,4.1,3,-2.6,0.5,2.2,87.67,0,,0,,,,,25.3,213,,61,10.3,,,,,2008-01-06T08:35:01,2008-01-06T16:36:46,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
6,"Dortmund, Nordrhein-Westfalen, Deutschland",2008-01-07,8.1,2.3,6,3.4,-2.1,1.4,2.5,78.41,0,,0,,,,,43.4,211.6,,70.7,10.6,,,,,2008-01-07T08:34:39,2008-01-07T16:38:01,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
7,"Dortmund, Nordrhein-Westfalen, Deutschland",2008-01-08,6.7,3.1,5.4,3,-1.5,1.5,2.1,79.32,0,,0,,,,,29.5,203.4,,26.3,10.4,,,,,2008-01-08T08:34:14,2008-01-08T16:39:19,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
8,"Dortmund, Nordrhein-Westfalen, Deutschland",2008-01-09,6.1,4.1,5.1,2,-0.4,0.9,2.3,82.29,0,,0,,,,,27.5,197.2,,33.8,10.2,,,,,2008-01-09T08:33:45,2008-01-09T16:40:40,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
9,"Dortmund, Nordrhein-Westfalen, Deutschland",2008-01-10,10.7,4.1,6.4,10.7,-0.9,2.4,2.6,76.92,0,,0,,,,,36,193.2,,25,10.4,,,,,2008-01-10T08:33:13,2008-01-10T16:42:02,0.02,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"10437499999,10416099999,10400099999,10315099999"
