,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-01,7.9,6.7,7.3,3.6,1.7,2.8,3.3,75.7,0,,0,,,,,40.7,232.5,1016.6,100,25.1,,,,,1984-01-01T08:36:07,1984-01-01T16:30:55,0.99,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
1,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-02,9.6,6.4,7.8,5.9,2.1,4.3,5.5,85.63,0,,0,,,,,44.3,229.2,1012.6,87.1,18.5,,,,,1984-01-02T08:36:02,1984-01-02T16:31:58,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
2,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-03,9.1,2.7,6.7,4.8,-4.7,1.6,2.3,74.64,0,,0,,,,,72,239.2,996.7,77.1,28.1,,,,,1984-01-03T08:35:54,1984-01-03T16:33:03,0,Partially cloudy,Partly cloudy throughout the day.,wind,10400099999
3,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-04,5.9,1.9,3.3,2.6,-4,-1.5,1.3,87.45,0,,0,,,,,42.5,268.8,1007.2,84.6,22,,,,,1984-01-04T08:35:42,1984-01-04T16:34:11,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
4,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-05,4.7,-0.3,2.2,0.6,-4.9,-1.8,0,85.39,0,,0,,,,,25.9,230.4,1020.6,72.5,14.1,,,,,1984-01-05T08:35:27,1984-01-05T16:35:22,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
5,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-06,5.4,3.2,4.6,2.2,-0.2,1.2,3.4,92.15,0,,0,,,,,20.5,238.3,1016.6,99.2,5,,,,,1984-01-06T08:35:09,1984-01-06T16:36:35,0.05,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
6,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-07,6.7,2.4,4.9,3.4,-2.1,0.8,2.4,83.75,0,,0,,,,,27.7,223.9,1003.8,78.7,18.8,,,,,1984-01-07T08:34:47,1984-01-07T16:37:50,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
7,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-08,4.6,1.9,3,-0.4,-3.3,-2.1,1.1,87.56,0,,0,,,,,31.3,260.4,1003.7,70.8,22.5,,,,,1984-01-08T08:34:22,1984-01-08T16:39:08,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
8,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-09,3.6,0.1,2.4,1.9,-2,-0.4,0.6,88.12,0,,0,,,,,18.4,308,1017.9,77.1,18.3,,,,,1984-01-09T08:33:54,1984-01-09T16:40:27,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
9,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-10,4.9,1.1,2.5,1.7,-2.7,-0.2,0.5,86.78,0,,0,,,,,24.1,212.9,1026.6,82.2,13.1,,,,,1984-01-10T08:33:23,1984-01-10T16:41:49,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
10,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-11,7.4,2.7,5.3,3.5,-2.1,1.1,3.1,85.84,0,,0,,,,,29.5,188.3,1016.8,100,25.1,,,,,1984-01-11T08:32:48,1984-01-11T16:43:14,0.25,Overcast,Cloudy skies throughout the day.,cloudy,10400099999
11,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-12,6.9,2.7,4.9,3.4,-1.7,1,2.7,86.14,0,,0,,,,,33.5,225.8,1005.5,80,24.6,,,,,1984-01-12T08:32:11,1984-01-12T16:44:40,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10400099999
12,"Dortmund, Nordrhein-Westfalen, Deutschland",1984-01-13,9.7,2.4,5.9,5.1,-3.2,1,2.4,78.39,0,,0,,,,,53.6,230,1001.8,74.6,27,,,,,1984-01-13T08:31:30,1984-01-13T16:46:08,0.35,Partially cloudy,Partly cloudy throughout the day.,wind,10400099999
