name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dortmund,2021-01-01,4.4,-1.3,2,2.2,-4.2,0.3,0.8,92.3,0.03,100,8.33,"rain,snow",,,,10.1,246.1,1008.7,73,6.8,27.9,2.4,2,,2021-01-01T08:35:56,2021-01-01T16:31:58,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03098,D5453,05480,13696,remote,06337,01303,13700"
Dortmund,2021-01-02,3.9,2.3,2.9,3.8,-0.5,1.1,1.1,87.9,0,0,0,,,,,11.1,191,1014,69.9,9.9,17.8,1.6,1,,2021-01-02T08:35:48,2021-01-02T16:33:03,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2021-01-03,3.2,1.4,2.4,0.9,-3,-1.3,-0.1,84,0.55,100,29.17,"rain,snow",,,,18,39.3,1014.6,77.9,24.5,11.4,0.9,1,,2021-01-03T08:35:36,2021-01-03T16:34:11,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2021-01-04,2.1,1,1.4,-1.5,-2.8,-2.3,0.1,91.1,0.61,100,45.83,"rain,snow",,,,15.1,54.1,1016.1,85.8,22.1,10.9,0.9,1,,2021-01-04T08:35:21,2021-01-04T16:35:21,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2021-01-05,2.4,1.2,1.6,0.1,-2.8,-2,0.5,92.1,0.96,100,29.17,"rain,snow",,,,15.2,53.6,1016.5,54.6,9.8,6.3,0.5,0,,2021-01-05T08:35:03,2021-01-05T16:36:34,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2021-01-06,3,0.7,2,0.3,-2.4,-0.8,0.5,89.1,0.17,100,20.83,"rain,snow",,,,13.8,161.8,1015.4,72.3,16.7,15.1,1.4,1,,2021-01-06T08:34:41,2021-01-06T16:37:50,0.76,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2021-01-07,2,0.6,1.2,-1.3,-2.7,-2.1,0.2,92.8,3.45,100,66.67,"rain,snow",,,,13.2,247.2,1012.5,95.8,8.9,13.1,1.1,1,,2021-01-07T08:34:16,2021-01-07T16:39:07,0.82,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,AS204,13700"
Dortmund,2021-01-08,2.1,0.2,1.2,0,-2.9,-1.4,0.2,93.5,1.98,100,58.33,"rain,snow",,,,13.9,286.5,1014.9,77.8,14.2,10.2,0.9,1,,2021-01-08T08:33:48,2021-01-08T16:40:27,0.87,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2021-01-09,2,-0.1,1.1,0.4,-2.3,-0.7,0.5,95.9,1.28,100,41.67,"rain,snow",,,,9.5,270.7,1023.1,62.5,7.2,15.1,1.3,1,,2021-01-09T08:33:17,2021-01-09T16:41:49,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2021-01-10,3.2,0.5,1.6,1.1,-2.8,-0.6,0.3,91.3,0.18,100,29.17,"rain,snow",,,,12.9,226.9,1024.7,49.1,9.7,21.1,1.6,1,,2021-01-10T08:32:42,2021-01-10T16:43:13,0.96,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"03098,D5453,05480,13696,06337,01303,13700"
