name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dortmund,2022-01-01,14.4,10.8,12.6,14.4,10.8,12.6,9.3,80.7,0,0,0,,,,,20.4,208,1023.5,95.5,34.6,28.3,2.5,2,,2022-01-01T08:35:59,2022-01-01T16:31:42,0.99,Overcast,Cloudy skies throughout the day.,cloudy,"10416099999,10400099999,EDDG,EDDL,EDLW,06337,01303,03098,D5453,10315099999,05480,13696,13700"
Dortmund,2022-01-02,13.1,9.8,11.7,13.1,7.1,11.5,8.1,78.8,10.18,100,58.33,rain,,,,33.8,218.3,1014.4,74.2,36,16.8,1.4,2,,2022-01-02T08:35:51,2022-01-02T16:32:47,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2022-01-03,10.7,8.5,9.6,10.7,5.6,7.7,6.4,80.2,1.7,100,62.5,rain,,,,33.7,239.9,1010.3,66.2,30.6,18.9,1.6,1,,2022-01-03T08:35:40,2022-01-03T16:33:54,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2022-01-04,8.7,3.8,6.6,6.2,2.4,4.4,5.3,90.9,3.98,100,95.83,rain,,,,18.6,246.3,998.6,98,20.1,10.4,0.8,1,,2022-01-04T08:35:26,2022-01-04T16:35:04,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03098,D6206,D5453,05480,13696,06337,01303,13700"
Dortmund,2022-01-05,4.9,1.8,3.4,2,-3.3,-0.9,1.5,87.7,12.5,100,70.83,rain,,,,30.6,256,1004.9,58.9,20.2,9.4,0.7,1,,2022-01-05T08:35:08,2022-01-05T16:36:17,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2022-01-06,4.7,0.3,2.3,2.1,-2.5,-0.8,0.6,88.9,0,0,0,,,,,17.6,238.5,1017.9,31.6,18.2,39.8,3.5,3,,2022-01-06T08:34:47,2022-01-06T16:37:31,0.09,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2022-01-07,4.3,1.7,2.8,0.6,-2.8,-1.2,0.6,85.5,4.58,100,66.67,"rain,snow",,,,20.4,213.5,1012.8,78.4,27.6,11.4,0.8,1,,2022-01-07T08:34:23,2022-01-07T16:38:48,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03098,D6206,D5453,05480,13696,06337,01303,AS204,13700"
Dortmund,2022-01-08,4.3,0,2.1,-0.1,-3.5,-1.9,0.2,87.6,0.38,100,25,rain,,,,28.4,210,1007,82.2,22,23.9,2,1,,2022-01-08T08:33:56,2022-01-08T16:40:08,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03098,D6206,D5453,05480,13696,06337,01303,13700"
Dortmund,2022-01-09,5.3,3.2,4.3,2,-0.8,0.6,2.4,87.3,9.67,100,75,rain,,,,27.9,241.4,998.6,85.6,20.7,18.4,1.6,1,,2022-01-09T08:33:25,2022-01-09T16:41:29,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03098,D5453,05480,13696,06337,01303,13700"
Dortmund,2022-01-10,6.3,-2,1.7,6.3,-3.2,0.5,0.4,91.3,0,0,0,,0,0,7.2,10.4,200.1,1021.1,16.5,9.3,42.4,3.6,3,10,2022-01-10T08:32:52,2022-01-10T16:42:53,0.28,Clear,Clear conditions throughout the day.,clear-day,"03098,D5453,05480,13696,06337,01303,13700"
