,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-01,5,-0.6,2.1,0.9,-4.2,-2.1,-0.8,82.4,0,0,0,,,,44.6,32.8,196.3,,10.1,6.9,31.5,2.7,2,,2015-01-01T08:35:58,2015-01-01T16:31:24,0.43,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
1,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-02,8,3.7,5.5,4.3,-1.3,0.8,0.9,72.8,5.2,100,29.17,rain,,,59.4,38.2,232,,64.4,9.7,32.7,2.8,2,,2015-01-02T08:35:52,2015-01-02T16:32:28,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
2,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-03,4,1.1,2.6,0.4,-2.7,-1.4,0,83.3,3.4,100,45.83,"rain,snow",,,,28.3,228.3,,51.3,9.5,18.7,1.6,1,,2015-01-03T08:35:42,2015-01-03T16:33:35,0.49,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
3,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-04,5.1,1,2.7,1.5,-3.5,-1.2,0.5,85,0,0,0,,,,,27,261,,44.7,9.5,45.3,3.9,2,,2015-01-04T08:35:29,2015-01-04T16:34:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
4,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-05,4.5,1.3,2.5,1.4,-2.8,-1.2,-0.2,82.7,0,0,0,,,,,22.6,224.9,,70.5,9.2,30.6,2.7,2,,2015-01-05T08:35:12,2015-01-05T16:35:55,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
5,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-06,5.9,1.7,3.2,4.2,-2,-0.2,-1.4,72.7,1,100,16.67,rain,,,,23,175,,48.7,9.7,29.6,2.5,1,,2015-01-06T08:34:52,2015-01-06T16:37:09,0.51,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
6,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-07,5.1,2,3.9,1.7,-3.7,0,1.7,86.1,0.4,100,8.33,rain,,,,28.8,225.5,,51.6,7.9,17,1.4,1,,2015-01-07T08:34:29,2015-01-07T16:38:26,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
7,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-08,8,2.7,5.4,4.7,-2.1,1,3.2,85.5,18.7,100,66.67,rain,,,55.4,32.5,215.4,,84.6,9.3,4.3,0.4,0,,2015-01-08T08:34:03,2015-01-08T16:39:44,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
8,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-09,10.8,5.7,7.8,10.8,0.8,4.2,4.7,81.1,11.2,100,62.5,rain,,,76.9,51,234.2,,84.5,9.6,6.8,0.6,1,,2015-01-09T08:33:33,2015-01-09T16:41:05,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
9,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-10,13.6,4.1,10.4,13.6,0.1,9,6.1,75.5,4.4,100,66.67,rain,,,84.9,53.1,253.9,,74.3,9.1,7.1,0.7,0,,2015-01-10T08:33:00,2015-01-10T16:42:28,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
10,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-11,5.1,2.1,3.8,0.3,-4.1,-1.4,-0.4,74.6,2,100,54.17,rain,,,64.8,35.3,249.6,,62.9,10,20.9,1.8,1,,2015-01-11T08:32:24,2015-01-11T16:43:53,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
11,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-12,8.1,6.1,6.9,3.4,0.7,2.2,3.2,77.3,1.9,100,79.17,rain,,,68.4,49.2,225.5,,90.2,10,3.9,0.4,0,,2015-01-12T08:31:45,2015-01-12T16:45:20,0.71,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
12,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-13,10.6,7,9,10.6,2.7,5.6,4.5,73.9,5.9,100,91.67,rain,,,63,41,218.3,,58.8,9.7,19,1.6,1,,2015-01-13T08:31:03,2015-01-13T16:46:49,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
13,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-14,7.6,2.1,3.9,4.2,-3.4,-1,0.7,79.9,5.3,100,45.83,rain,,,61.2,32.2,218.3,,52.3,9.9,19.8,1.7,1,,2015-01-14T08:30:18,2015-01-14T16:48:20,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
14,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-15,10,3,7.3,10,-1.3,3.1,3.2,75.3,6,100,83.33,rain,,,64.8,40.1,194.4,,54.1,10,10.8,1,1,,2015-01-15T08:29:30,2015-01-15T16:49:52,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
15,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-16,7.1,3,5.8,5.4,-0.6,2.5,1.4,73.4,0,0,0,,,,53.6,27.1,207.6,,10,10,32.7,2.9,2,,2015-01-16T08:28:39,2015-01-16T16:51:26,0.9,Clear,Clear conditions throughout the day.,clear-day,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
16,"Dortmund, Nordrhein-Westfalen, Deutschland",2015-01-17,4.6,0.1,2.1,1.8,-4.5,-1.2,-0.7,81.6,0,0,0,,,,,16.4,228.8,,34.5,9.7,52.8,4.7,3,,2015-01-17T08:27:45,2015-01-17T16:53:01,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10400099999,EDDG,EDDL,10315099999,EDLW"
