name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dortmund,2019-01-01,8,4,6.7,5.5,0.3,3.4,4.6,86.8,1.4,100,41.67,rain,,,55.4,23.8,272.5,,73.3,7.1,13,1,1,,2019-01-01T08:35:58,2019-01-01T16:31:25,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2019-01-02,5.1,0,3.4,2.1,-2.5,0.2,-1.5,71,0.2,100,8.33,rain,,,50,20.7,309.4,,34.7,10,28.5,2.5,2,,2019-01-02T08:35:51,2019-01-02T16:32:29,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"10437499999,10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2019-01-03,4.1,0,2.5,3,-3.1,0.2,1,89.7,0.2,100,8.33,"rain,snow",,,,11.4,290,,74.3,10,21.1,1.7,1,,2019-01-03T08:35:41,2019-01-03T16:33:35,0.97,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"10437499999,10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2019-01-04,4,0.9,2.7,0.9,-2.4,-0.5,2.1,95.9,1.9,100,70.83,"rain,snow",,,33.5,20.4,267.4,,81,5.4,12,0.9,1,,2019-01-04T08:35:28,2019-01-04T16:34:44,0.99,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"10437499999,10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2019-01-05,7,4,5.7,4.2,0.1,2.5,5.4,97.8,5.5,100,100,rain,,,,18.4,285,,95.9,4.5,10.6,1,1,,2019-01-05T08:35:11,2019-01-05T16:35:56,1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"10437499999,10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2019-01-06,6.1,5,5.7,4,2.1,3.2,4.9,94.5,1.6,100,50,rain,,,,18.3,290,,94.2,6.4,13.6,1.2,1,,2019-01-06T08:34:51,2019-01-06T16:37:10,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"10437499999,10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2019-01-07,7.1,2.9,5.1,3.2,0,1.6,4.1,93.7,4.3,100,50,rain,,,53.6,33.2,239.1,,85.3,6.6,13.6,1,1,,2019-01-07T08:34:28,2019-01-07T16:38:27,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"10437499999,10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2019-01-08,8,4.1,5.8,3.9,-0.2,1.8,3.5,85.5,5.9,100,91.67,rain,,,72.4,31.4,281.9,,71.7,8.9,12.1,1,1,,2019-01-08T08:34:02,2019-01-08T16:39:45,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10437499999,10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2019-01-09,4.9,1,3,1.4,-2.7,-0.7,-0.2,79.9,0.9,100,29.17,rain,,,48.2,20.7,325.1,,65.8,10,31.2,2.6,2,,2019-01-09T08:33:32,2019-01-09T16:41:06,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"10437499999,10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2019-01-10,2,0,0.6,1.1,-3.5,-1.6,-1.5,86,0.7,100,20.83,"rain,snow",,,,10.9,307.1,,73.6,9.8,28.4,2.4,2,,2019-01-10T08:32:59,2019-01-10T16:42:29,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"10437499999,10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
