,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",1999-01-01,9.7,1.4,5.1,8.2,0.9,4.3,-1.5,63.23,0,,0,,,,,11.9,126.2,1012.6,4.8,11.1,,,,,1999-01-01T08:36:01,1999-01-01T16:31:17,0.5,Clear,Clear conditions throughout the day.,clear-day,"10437499999,10416099999,10418099999"
1,"Dortmund, Nordrhein-Westfalen, Deutschland",1999-01-02,8.7,3.7,6.3,5.7,2.6,4.2,1.8,73.14,0,,0,,,,,27.4,194.8,1007.6,25.7,10.9,,,,,1999-01-02T08:35:55,1999-01-02T16:32:20,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10418099999"
2,"Dortmund, Nordrhein-Westfalen, Deutschland",1999-01-03,7.8,3.7,5.2,3.8,-1,1.6,2.6,84.02,0,,0,,,,,31.4,212.9,1003.3,45.3,10.2,,,,,1999-01-03T08:35:45,1999-01-03T16:33:27,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10418099999"
3,"Dortmund, Nordrhein-Westfalen, Deutschland",1999-01-04,12.8,3.2,8.5,12.8,0,6.7,6.6,88.13,0,,0,,,,,31.2,222.4,1011,68.1,9.6,,,,,1999-01-04T08:35:32,1999-01-04T16:34:35,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10418099999"
4,"Dortmund, Nordrhein-Westfalen, Deutschland",1999-01-05,15.8,9.4,12.1,15.8,8,12,9.1,82.17,0,,0,,,,,32.5,222.9,1015.6,32.8,11.1,,,,,1999-01-05T08:35:16,1999-01-05T16:35:47,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10418099999"
5,"Dortmund, Nordrhein-Westfalen, Deutschland",1999-01-06,13.9,8.4,10.7,13.9,6.8,9.7,3.9,63.93,0,,0,,,,,25.4,211.5,1014.7,6.7,13.4,,,,,1999-01-06T08:34:57,1999-01-06T16:37:00,0.61,Clear,Clear conditions throughout the day.,clear-day,"10437499999,10416099999,10418099999"
6,"Dortmund, Nordrhein-Westfalen, Deutschland",1999-01-07,9.8,3.6,6.5,6.8,1.2,3.7,3.5,81.32,0,,0,,,,,38,249,1007.5,60.1,9.3,,,,,1999-01-07T08:34:34,1999-01-07T16:38:17,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10418099999"
7,"Dortmund, Nordrhein-Westfalen, Deutschland",1999-01-08,5.9,1.9,4.4,2.1,-1.5,0.6,1.5,81.71,0,,0,,,,,34.6,239.6,1001.1,50.7,10.8,,,,,1999-01-08T08:34:08,1999-01-08T16:39:35,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10418099999"
8,"Dortmund, Nordrhein-Westfalen, Deutschland",1999-01-09,2.9,-0.4,1.6,1.7,-2.6,-1,0.1,89.9,0,,0,,,,,15.3,303,1005.8,60.4,7.4,,,,,1999-01-09T08:33:39,1999-01-09T16:40:56,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10437499999,10416099999,10418099999"
9,"Dortmund, Nordrhein-Westfalen, Deutschland",1999-01-10,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1.3,95.01,0,,0,,,,,1.8,70,1012.3,0,10,,,,,1999-01-10T08:33:06,1999-01-10T16:42:18,0.8,Clear,Clear conditions throughout the day.,clear-day,10418099999
